# Wavelength [nm]	n	k
1.879000000000000057e+02	1.070000000000000062e+00	1.211999999999999966e+00
1.915999999999999943e+02	1.100000000000000089e+00	1.231999999999999984e+00
1.953000000000000114e+02	1.120000000000000107e+00	1.254999999999999893e+00
1.993000000000000114e+02	1.139999999999999902e+00	1.276999999999999913e+00
2.033000000000000114e+02	1.149999999999999911e+00	1.296000000000000041e+00
2.073000000000000114e+02	1.179999999999999938e+00	1.312000000000000055e+00
2.119000000000000057e+02	1.199999999999999956e+00	1.324999999999999956e+00
2.164000000000000057e+02	1.219999999999999973e+00	1.336000000000000076e+00
2.214000000000000057e+02	1.250000000000000000e+00	1.342000000000000082e+00
2.262000000000000171e+02	1.260000000000000009e+00	1.344000000000000083e+00
2.313000000000000114e+02	1.280000000000000027e+00	1.356999999999999984e+00
2.370999999999999943e+02	1.280000000000000027e+00	1.366999999999999993e+00
2.426000000000000227e+02	1.300000000000000044e+00	1.377999999999999892e+00
2.490000000000000000e+02	1.310000000000000053e+00	1.389000000000000012e+00
2.550999999999999943e+02	1.330000000000000071e+00	1.393000000000000016e+00
2.616000000000000227e+02	1.350000000000000089e+00	1.387000000000000011e+00
2.688999999999999773e+02	1.379999999999999893e+00	1.372000000000000108e+00
2.761000000000000227e+02	1.409999999999999920e+00	1.330999999999999961e+00
2.843999999999999773e+02	1.409999999999999920e+00	1.264000000000000012e+00
2.923999999999999773e+02	1.389999999999999902e+00	1.161000000000000032e+00
3.008999999999999773e+02	1.340000000000000080e+00	9.639999999999999680e-01
3.106999999999999886e+02	1.129999999999999893e+00	6.159999999999999920e-01
3.204000000000000341e+02	8.100000000000000533e-01	3.920000000000000151e-01
3.315000000000000000e+02	1.700000000000000122e-01	8.289999999999999591e-01
3.425000000000000000e+02	1.400000000000000133e-01	1.141999999999999904e+00
3.541999999999999886e+02	1.000000000000000056e-01	1.419000000000000039e+00
3.678999999999999773e+02	7.000000000000000666e-02	1.657000000000000028e+00
3.815000000000000000e+02	5.000000000000000278e-02	1.864000000000000101e+00
3.973999999999999773e+02	5.000000000000000278e-02	2.069999999999999840e+00
4.133000000000000114e+02	5.000000000000000278e-02	2.274999999999999911e+00
4.305000000000000000e+02	4.000000000000000083e-02	2.462000000000000188e+00
4.509000000000000341e+02	4.000000000000000083e-02	2.657000000000000028e+00
4.713999999999999773e+02	5.000000000000000278e-02	2.869000000000000217e+00
4.959000000000000341e+02	5.000000000000000278e-02	3.092999999999999972e+00
5.208999999999999773e+02	5.000000000000000278e-02	3.323999999999999844e+00
5.486000000000000227e+02	5.999999999999999778e-02	3.585999999999999854e+00
5.820999999999999091e+02	5.000000000000000278e-02	3.858000000000000096e+00
6.168000000000000682e+02	5.999999999999999778e-02	4.152000000000000135e+00
6.595000000000000000e+02	5.000000000000000278e-02	4.482999999999999652e+00
7.045000000000000000e+02	4.000000000000000083e-02	4.838000000000000078e+00
7.560000000000000000e+02	2.999999999999999889e-02	5.241999999999999993e+00
8.211000000000000227e+02	4.000000000000000083e-02	5.727000000000000313e+00
8.920000000000000000e+02	4.000000000000000083e-02	6.312000000000000277e+00
9.840000000000000000e+02	4.000000000000000083e-02	6.991999999999999993e+00
1.088000000000000000e+03	4.000000000000000083e-02	7.794999999999999929e+00
1.216000000000000000e+03	8.999999999999999667e-02	8.827999999999999403e+00
1.393000000000000000e+03	1.300000000000000044e-01	1.009999999999999964e+01
1.610000000000000000e+03	1.499999999999999944e-01	1.184999999999999964e+01
1.937000000000000000e+03	2.399999999999999911e-01	1.408000000000000007e+01
# paper="P. B. Johnson and R. W. Christy. Optical constants of the noble metals, Phys. Rev. B 6, 4370-4379 (1972)", wlen_range=[187.9, 1937.0], reference="https://refractiveindex.info/?shelf=main&book=Ag&page=Johnson", 
